channel_index,config_id,snr_db,svd_rate,ucd_rate,delta_rate
18,0,12,14.878114,11.837983,-3.040131
18,0,13,16.961788,13.746748,-3.2150402
18,0,14,19.065954,15.981783,-3.0841703
18,0,15,21.144357,18.385953,-2.7584038
18,0,16,23.191292,21.140611,-2.0506818
18,0,17,25.249972,23.977102,-1.2728704
18,0,18,27.354812,27.201575,-0.15323688
18,0,19,29.493101,30.657024,1.1639233
18,0,20,31.606572,34.173866,2.567294
18,0,21,33.611722,37.675282,4.0635601
18,0,22,35.440716,40.84088,5.400164
18,0,23,37.096652,43.497815,6.4011625
18,0,24,38.63552,45.494637,6.8591171
18,0,25,40.05264,46.711648,6.6590072
18,0,26,41.320034,47.385822,6.065788
18,0,27,42.447616,47.733252,5.2856355
18,0,28,43.471936,47.889304,4.4173681
18,0,29,44.402411,47.963349,3.5609377
18,0,30,45.212471,47.997867,2.7853953
19,0,0,0.35401111,0.047177912,-0.3068332
19,0,1,0.63885257,0.080970183,-0.55788238
19,0,2,1.0535037,0.19670873,-0.85679492
19,0,3,1.5909534,0.34029461,-1.2506588
